what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1324595188087
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1324595188110
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1324595188151
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1324595188174
os,sysinfo,,,"win32",1324595188177
arch,sysinfo,,,"x86_64",1324595188177
ws,sysinfo,,,"win32",1324595188177
locale,sysinfo,,,"en_US",1324595188177
processors,sysinfo,,,"2",1324595188177
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324595188177
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1324595188177
java.specification.name,sysinfo,,,"Java Platform API Specification",1324595188177
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324595188177
java.specification.version,sysinfo,,,"1.6",1324595188177
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1324595188177
java.version,sysinfo,,,"1.6.0_24",1324595188177
java.vm.info,sysinfo,,,"mixed mode",1324595188177
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1324595188177
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324595188177
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324595188177
java.vm.specification.version,sysinfo,,,"1.0",1324595188177
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1324595188177
java.vm.version,sysinfo,,,"19.1-b02",1324595188177
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1324595188484
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1324595189156
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1324595189179
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1324595189289
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1324595189469
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324600658011
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1324600658107
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324600665423
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324600671612
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1324600673105
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1324600673204
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1324600673408
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1324600673498
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1324600673813
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1324600673829
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1324600673978
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1324600674020
