what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1324171947994
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324171949864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171953089
error,log,,,"Internal Error",1324171964005
error,log,,,"Problems encountered while moving resources.",1324171964005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171967706
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1324171967714
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1324171968151
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1324171969679
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324171970440
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324171970978
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324171972984
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1324171974336
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1324171974379
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1324171975974
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324171976550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171979896
error,log,,,"Internal Error",1324171982728
error,log,,,"Problems encountered while moving resources.",1324171982729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171984465
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1324171984476
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324171985084
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1324171985115
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324171986213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171987465
error,log,,,"Internal Error",1324171988369
error,log,,,"Problems encountered while deleting resources.",1324171988370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324171993350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1324171993356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1324171996889
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1324172000007
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172004277
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1324172004277
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1324172005286
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324172006696
closed,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1324172006696
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172006707
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172006717
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172006727
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172006736
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172006744
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1324172006757
closed,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1324172006771
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172009631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172009662
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1324172020721
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1324172020741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1324172023921
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324172025683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172027874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172029125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1324172029135
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324172029694
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324172031209
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172032411
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1324172033838
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324172033878
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324172040263
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324172043829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172045209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172046413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1324172046420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172053341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324172064983
error,log,,,"Current file is not a match for the given config.",1324172065073
error,log,,,"Current file is not a match for the given config.",1324172065073
error,log,,,"Current file is not a match for the given config.",1324172065073
error,log,,,"Current file is not a match for the given config.",1324172065073
error,log,,,"Current file is not a match for the given config.",1324172065074
error,log,,,"Current file is not a match for the given config.",1324172065074
error,log,,,"Current file is not a match for the given config.",1324172065074
error,log,,,"Current file is not a match for the given config.",1324172065074
error,log,,,"Current file is not a match for the given config.",1324172065075
error,log,,,"Current file is not a match for the given config.",1324172065075
error,log,,,"Current file is not a match for the given config.",1324172065075
error,log,,,"Current file is not a match for the given config.",1324172065075
error,log,,,"Current file is not a match for the given config.",1324172065075
error,log,,,"Current file is not a match for the given config.",1324172065076
error,log,,,"Current file is not a match for the given config.",1324172065076
error,log,,,"Current file is not a match for the given config.",1324172065076
error,log,,,"Current file is not a match for the given config.",1324172065076
error,log,,,"Current file is not a match for the given config.",1324172065077
error,log,,,"Current file is not a match for the given config.",1324172065077
error,log,,,"Current file is not a match for the given config.",1324172065077
error,log,,,"Current file is not a match for the given config.",1324172065077
error,log,,,"Current file is not a match for the given config.",1324172065078
error,log,,,"Current file is not a match for the given config.",1324172065078
error,log,,,"Current file is not a match for the given config.",1324172065078
error,log,,,"Current file is not a match for the given config.",1324172065078
error,log,,,"Current file is not a match for the given config.",1324172065079
error,log,,,"Current file is not a match for the given config.",1324172065079
error,log,,,"Current file is not a match for the given config.",1324172065079
error,log,,,"Current file is not a match for the given config.",1324172065079
error,log,,,"Current file is not a match for the given config.",1324172065079
error,log,,,"Current file is not a match for the given config.",1324172065080
error,log,,,"Current file is not a match for the given config.",1324172065080
error,log,,,"Current file is not a match for the given config.",1324172065080
error,log,,,"Current file is not a match for the given config.",1324172065080
error,log,,,"Current file is not a match for the given config.",1324172065081
error,log,,,"Current file is not a match for the given config.",1324172065081
error,log,,,"Current file is not a match for the given config.",1324172065081
error,log,,,"Current file is not a match for the given config.",1324172065081
error,log,,,"Current file is not a match for the given config.",1324172065082
error,log,,,"Current file is not a match for the given config.",1324172065082
error,log,,,"Current file is not a match for the given config.",1324172065082
